date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:17	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f9755a2-247b%22	https://technext.github.io/robots.txt		(from )
02:35:17	22460/22460	---M-Z	200	added ('OK')	text/html	etag:W/%225c4d722b-57bc%22	https://technext.github.io/product-admin/	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/index.html	(from )
02:35:18	46930/46930	---M-Z	200	added ('OK')	text/css	etag:W/%225c4d722b-b752%22	https://technext.github.io/product-admin/css/fontawesome.min.css	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/css/fontawesome.min.css	(from https://technext.github.io/product-admin/)
02:35:18	140936/140936	---M-Z	200	added ('OK')	text/css	etag:W/%225c4d722b-22688%22	https://technext.github.io/product-admin/css/bootstrap.min.css	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/css/bootstrap.min.css	(from https://technext.github.io/product-admin/)
02:35:18	12273/12273	---M-Z	200	added ('OK')	text/css	etag:W/%225c4d722b-2ff1%22	https://technext.github.io/product-admin/css/templatemo-style.css	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/css/templatemo-style.css	(from https://technext.github.io/product-admin/)
02:35:18	22460/22460	---M-Z	200	added ('OK')	text/html	etag:W/%225c4d722b-57bc%22	https://technext.github.io/product-admin/index.html	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/index-2.html	(from https://technext.github.io/product-admin/)
02:35:18	16243/16243	---M-Z	200	added ('OK')	text/html	etag:W/%225c4d722b-3f73%22	https://technext.github.io/product-admin/products.html	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/products.html	(from https://technext.github.io/product-admin/)
02:35:19	8823/8823	---M-Z	200	added ('OK')	text/html	etag:W/%225c4d722b-2277%22	https://technext.github.io/product-admin/accounts.html	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/accounts.html	(from https://technext.github.io/product-admin/)
02:35:19	6360/6360	---M-Z	200	added ('OK')	text/html	etag:W/%225c4d722b-18d8%22	https://technext.github.io/product-admin/login.html	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/login.html	(from https://technext.github.io/product-admin/)
02:35:19	2894/2894	---M--	200	added ('OK')	image/jpeg	etag:%225c4d722b-b4e%22	https://technext.github.io/product-admin/img/notification-01.jpg	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/img/notification-01.jpg	(from https://technext.github.io/product-admin/)
02:35:19	3462/3462	---M--	200	added ('OK')	image/jpeg	etag:%225c4d722b-d86%22	https://technext.github.io/product-admin/img/notification-02.jpg	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/img/notification-02.jpg	(from https://technext.github.io/product-admin/)
02:35:20	3055/3055	---M--	200	added ('OK')	image/jpeg	etag:%225c4d722b-bef%22	https://technext.github.io/product-admin/img/notification-03.jpg	C:/Users/aliye/Desktop/New%20folder/Salam/technext.github.io/product-admin/img/notification-03.jpg	(from https://technext.github.io/product-admin/)
